issue,record_type,record_id,venue_name,operator,what_the_pipeline_produced,source,snippet
article unusable: date has no day — not filled in,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@321236,,,|Health Services Insights; London | / ? / Marketization in Long-Term Care: A Cross-Country Comparison of Large For-Profit Nursing Home Chains,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,Marketization of health and social service organizations includes the ideas of privatizing funding streams and commercializing services.1 The use of competing private providers to provide health services was widely supported by the concept of new public manage
article unusable: date has no day — not filled in,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@699474,,,|Foodservice Director; New York | / ? / ANATOMY OF A RENOVATION,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,"Headnote DESIGN How The University of Chicago Medical Center juggled its priorities to overhaul a kitchen. BY DANA MORAN In 2014, the foodservice operations at The University of Chicago Medical Center got a major surprise. Two floors of its Center for Care and"
article unusable: date has no day — not filled in,article,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf@352101,,,|Foodservice Director; New York | / ? / CHALLENGE ACCEPTED,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf,"Headnote SUSTAINABILITY Waste reduction efforts can show results beyond the environment. The buffet tables in the dining halls at the University of California, Santa Cruz were impressively arranged with plates teeming with sandwiches, pizzas, fries and vegetab"
article unusable: date has no day — not filled in,article,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf@357088,,,|Foodservice Director; New York | / ? / #THROWBACK: 3 RULES FOR MODERN DECADE-THEME DINING,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf,"Headnote MARKETING Bank on nostalgia for new memories. Look to social media's Throwback Thursday photos and Facebook Memories, and it's clear there's a heavy nostalgia for days not-so-long past. Foodservice operators are tapping into diners' desire for simpler"
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@0,,,"|Boston Globe (2008-); Boston, Massachusetts | / 2017-02-01 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1021002,,,|Chicago Tribune (2008-); Chicago | / 2016-12-05 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1046337,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-12-02 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1047279,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-12-02 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1066999,,,"|Boston Globe (2008-); Boston, Massachusetts | / 2016-11-29 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1075555,,,"|St. Lucie News Tribune (2009-); Fort Pierce, Florida | / 2016-11-28 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1076477,,,"|The Stuart News (1938-); Stuart, Florida | / 2016-11-28 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1077401,,,"|Indian River Press Journal (1991-); Vero Beach, Florida | / 2016-11-28 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1078338,,,|Chicago Tribune (2008-); Chicago | / 2016-11-28 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1087147,,,"|The Greenville News (1920-); Greenville, South Carolina | / 2016-11-27 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1088086,,,"|Green Bay Press Gazette (1915-); Green Bay, Wisconsin | / 2016-11-27 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1089033,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-11-23 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1089970,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-11-23 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1090904,,,"|El Paso Times (1921-); El Paso, Texas | / 2016-11-22 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1102968,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-11-18 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1103914,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-11-18 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1116906,,,"|Albuquerque Journal (1926-); Albuquerque, New Mexico | / 2016-11-17 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1124060,,,"|The News-Star (2001-); Monroe, Louisiana | / 2016-11-16 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1125009,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-11-16 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1125959,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-11-16 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@123993,,,"|Albuquerque Journal (1926-); Albuquerque, New Mexico | / 2017-01-26 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1244013,,,"|Fort Myers News-Press (1931-); Fort Myers, Florida | / 2016-11-14 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1263381,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-11-13 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1270824,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-11-11 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@127885,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2017-01-25 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1295640,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-11-09 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1306000,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-11-07 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1306973,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-11-07 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1320496,,,"|Times Record News (1987-); Wichita Falls, Texas | / 2016-11-06 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1321444,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-11-04 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1322390,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-11-04 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1323336,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-11-04 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1350161,,,"|Philadelphia Daily News (1960-); Philadelphia, Pennsylvania | / 2016-11-03 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1351140,,,"|The Hartford Courant (2008-); Hartford, Connecticut | / 2016-11-03 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1352107,,,"|The Hartford Courant (2008-); Hartford, Connecticut | / 2016-11-03 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1353078,,,|Star Tribune (1987-); Minneapolis | / 2016-11-03 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1416189,,,|Star Tribune (1987-); Minneapolis | / 2016-11-02 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1483005,,,|PR Newswire; New York | / 2016-11-02 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,"PHILADELPHIA, Nov. 2, 2016 /PRNewswire/ -- Hand carved, house-smoked and slow roasted are just a few of the ways to describe the new sandwiches available at the nine NBA and NHL arenas where Aramark (NYSE: ARMK) is the food and beverage provider. From braised "
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1496281,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-11-01 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1527431,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-10-29 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1564094,,,"|The Gleaner (2012-); Henderson, Kentucky | / 2016-10-25 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1656192,,,"|Philadelphia Daily News (1960-); Philadelphia, Pennsylvania | / 2016-10-20 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@167228,,,|Battle Creek Enquirer (1983-); Battle Creek. Michigan | / 2017-01-22 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@168175,,,"|The Times Herald (1970-); Port Huron, Michigan | / 2017-01-21 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@169112,,,"|Lansing State Journal (1980-); Lansing, Michigan | / 2017-01-21 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@170068,,,"|Lansing State Journal (1980-); Lansing, Michigan | / 2017-01-21 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@171024,,,"|Detroit Free Press (1923-), General edition; Detroit | / 2017-01-21 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1716142,,,"|The Reporter (1977-); Fond du Lac, Wisconsin | / 2016-10-16 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1728556,,,"|The Daily Advertiser (1914-); Lafayette, Louisiana | / 2016-10-15 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1729465,,,"|The Daily Advertiser (1914-); Lafayette, Louisiana | / 2016-10-15 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1730374,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-10-15 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1741608,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-10-14 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@176571,,,"|Chillicothe Gazette (1940-); Chillicothe, Ohio | / 2017-01-19 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@182579,,,"|Windsor Star (1959-); Windsor, Ontario | / 2017-01-18 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1854549,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-10-12 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1857547,,,"|The Daily Advertiser (1914-); Lafayette, Louisiana | / 2016-10-11 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1881186,,,|Indianapolis Star (1923-); Indianapolis | / 2016-10-08 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1882138,,,"|Newsday (2010-), Nassau ed.; Long Island, New York | / 2016-10-07 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@188767,,,"|Windsor Star (1959-); Windsor, Ontario | / 2017-01-17 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1932797,,,"|Honolulu Star-Advertiser (2010-2025); Honolulu, Hawaii | / 2016-10-05 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1958789,,,"|Edmonton Journal (1911-); Edmonton, Canada | / 2016-10-03 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1976894,,,|The Tennessean (1972-); Nashville | / 2016-10-02 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1980697,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-10-01 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1989595,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-09-30 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1990539,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-09-30 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1991486,,,|Star Tribune (1987-); Minneapolis | / 2016-09-30 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1992436,,,|Courier - Post (1949-); Cherry Hill | / 2016-09-29 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@1997877,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-09-28 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2032234,,,"|The Springfield News-Leader (1991-); Springfield, Missouri | / 2016-09-25 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@205468,,,|Courier - Post (1949-); Cherry Hill | / 2017-01-16 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@206405,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2017-01-16 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2070101,,,"|Des Moines Register (1871-); Des Moines, Iowa | / 2016-09-21 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2071039,,,|The Courier-Journal (1923-); Louisville | / 2016-09-21 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2071961,,,"|Wall Street Journal (2008-), Eastern Edition; New York | / 2016-09-21 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@207379,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2017-01-16 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@208351,,,"|Windsor Star (1959-); Windsor, Ontario | / 2017-01-14 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@209267,,,"|Windsor Star (1959-); Windsor, Ontario | / 2017-01-13 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@210183,,,"|Windsor Star (1959-); Windsor, Ontario | / 2017-01-13 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2122879,,,|The Tennessean (1972-); Nashville | / 2016-09-18 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2123816,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-09-17 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2137037,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-09-16 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2137981,,,|Pittsburgh Post-Gazette (1927-); Pittsburgh | / 2016-09-16 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@217618,,,"|The Record (1960-); Hackensack, New Jersey | / 2017-01-12 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@218554,,,"|The Record (1960-); Hackensack, New Jersey | / 2017-01-12 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@219502,,,"|The North Jersey Herald & News (1987-); Passaic, New Jersey | / 2017-01-12 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2230985,,,"|The Daily Journal (1988-); Millville, New Jersey | / 2016-09-14 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2231930,,,|Courier - Post (1949-); Cherry Hill | / 2016-09-14 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2232871,,,|Philadelphia Inquirer (1969-); Philadelphia | / 2016-09-14 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2253204,,,"|Standard Times (1928-); San Angelo, Texas | / 2016-09-12 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2274232,,,|Arizona Republic (1930-); Phoenix | / 2016-09-11 / ?,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2275171,,,"|The Times Recorder (1965-); Zanesville, Ohio | / 2016-09-11 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2276127,,,"|The Knoxville News-Sentinel (1926-); Knoxville, Tennessee | / 2016-09-11 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2277068,,,"|The Morning Call (1939-); Allentown, Pennsylvania | / 2016-09-11 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2278056,,,"|Home News Tribune (2010-); East Brunswick, New Jersey | / 2016-09-11 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
article unusable: no headline found,article,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf@2302674,,,"|The Times Recorder (1965-); Zanesville, Ohio | / 2016-09-10 / ?",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,
